"","disorder","unique_row","study_ID","short_cite","long_cite","peer_reviewed","coder","expt_unique","same_sample","task_type","participant_design","native_language","group_name_1","group_name_2","n_1","n_2","feature","unit","x_1","x_2","SD_1","SD_2","expt_num","expt_condition","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","mean_education_1","mean_education_2","sd_education_1","sd_education_2","mean_total_task_duration_1","mean_total_task_duration_2","sd_total_task_duration_1","sd_total_task_duration_2","task_type_specification","native_language_specification","diagnosis_specification","feature_specification","prosody_type","notes","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_sample_calc","all_mod","mean_age_1_years","mean_age_2_years","EffectSize","Variance","StandardError"
"97","asd",16,"Fusaroli2016","Fusaroli, Lambrechts, et al. (2016)","Fusaroli, R., Lambrechts, A., Yarrow, K., Maras, K., & Gaigg, S. (2016). Conversational voice patterns in adult English speakers with ASD. Paper presented at the IMFAR 2016, Baltimore, United States.",NA,"LNJ, ND","Fusaroli, Lambrechts, et al. (2016)","AE_asd","spontaneous","between","English","ASD","HC",17,17,"pitch","Hz",160.714,132.849,60.25,13.44,NA,NA,15,14,2,3,551.29,591.53,169.52,133.14,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","British English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.638369144783371,0.123639928897227,0.622924729990225,0.117729721578063,0.304070984214576,0.0231045377212738,0.31399925521662,0.0714285714285714,1.15787354895482,0.406759062131483,"between",571.41,17,"Fusaroli2016 AE",NA,45.9408333333333,49.2941666666667,0.623269646435436,0.123359780178938,0.351226109762554
"98","asd",17,"Fusaroli2016","Fusaroli, Lambrechts, et al. (2016)","Fusaroli, R., Lambrechts, A., Yarrow, K., Maras, K., & Gaigg, S. (2016). Conversational voice patterns in adult English speakers with ASD. Paper presented at the IMFAR 2016, Baltimore, United States.",NA,"LNJ, ND","Fusaroli, Lambrechts, et al. (2016).1","AE_asd","social interaction","between","English","ASD","HC",17,17,"pitch","Hz",139.037,137.61,33.87,41.8,NA,NA,15,14,2,3,534.35,591.53,162,145.91,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","British English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.0375109815340257,0.117667751084348,0.0366034577872347,0.112043024429366,0.0187521928422595,0.0293859157483917,0.0187543913427692,0.0714285714285714,0.0680373944582172,0.387111384656122,"between",562.94,17,"Fusaroli2016 AE",NA,44.5291666666667,49.2941666666667,0.0366237252993988,0.117666783783159,0.343025922902569
"99","asd",18,"Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.",NA,"LNJ, ND","Fusaroli, et al. (2013)","AF_asd","spontaneous","between","Danish","ASD","HC",10,14,"pitch","Hz",122.918,129.357,27.34,30.41,NA,NA,7,11,3,3,358.8,325.71,81.1,92.1,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Danish","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.220565525873436,0.172442095411984,-0.212688185663671,0.160344754534868,-0.108103019769192,0.0404606950951336,-0.10852710411034,0.142857142857143,-0.400061610601224,0.567311754603731,"between",339.4975,12,"Fusaroli2013 AF",NA,29.9,27.1425,-0.212945132261012,0.172373272040106,0.415178602579789
"100","asd",19,"Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.",NA,"LNJ, ND","Fusaroli, et al. (2013).1","AG_asd","spontaneous","between","Danish","ASD","HC",30,17,"pitch","Hz",168.55,172.32,53.26,78.89,NA,NA,19,9,11,8,418.4,304.94,431.99,67.76,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Danish","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.05930653087082,0.0921942804536505,-0.0582956240946128,0.0890780804396083,-0.0284848206506266,0.0212334649767113,-0.0284925284555123,0.037037037037037,-0.10757014798843,0.303307025373539,"between",377.361276595745,23.5,"Fusaroli2013 AG",NA,34.8666666666667,25.4116666666667,-0.0583116367940589,0.0921930355853704,0.303633060758163
"101","asd",20,"Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.",NA,"LNJ, ND","Fusaroli, et al. (2013).2","AI_asd","spontaneous","between","Danish","ASD","HC",12,12,"pitch","Hz",217.45,173.53,102.12,38.77,NA,NA,4,5,8,7,303,302,73.82,70.5,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Danish","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.568627492730058,0.173402858864343,0.548319367989699,0.161238117489931,0.273475419701513,0.0343335648854838,0.280616338281691,0.111111111111111,1.03137618479988,0.570472539669666,"between",302.5,12,"Fusaroli2013 AI",NA,25.25,25.1666666666667,0.548981787462701,0.172945437561786,0.415867091222408
"102","asd",21,"Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.",NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015)","AJ_asd","spontaneous","between","Danish","ASD","HC",29,38,"pitch","Hz",240.079,226.972,37.87,30.41,NA,NA,24,27,5,11,131.26,130.54,16.81,16.06,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Danish","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.387484655532531,0.0619190283799945,0.38294381972551,0.0604763044368754,0.188543123654132,0.0136363232551492,0.190826162685485,0.0384615384615385,0.70281942185542,0.20370543833679,"between",130.851641791045,33.5,"Fusaroli2015 AJ",NA,10.9383333333333,10.8783333333333,0.382993518099344,0.0618932050712852,0.248783450155522
"103","asd",22,"Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.",NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015).1","AJ_asd","spontaneous","between","Danish","ASD","HC",29,38,"pitch","Hz",237.696,221,29.51,30.99,NA,NA,24,27,5,11,131.26,130.54,16.81,16.06,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Danish","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.549910432171353,0.0630552755825148,0.543466169294345,0.0615860768853941,0.262880308372274,0.0124868826821791,0.269200033650883,0.0384615384615385,0.997427192258165,0.207443541800363,"between",130.851641791045,33.5,"Fusaroli2015 AJ",NA,10.9383333333333,10.8783333333333,0.54353670022723,0.063003265590597,0.251004513088106
"104","asd",23,"Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.",NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015).2","AK_asd","spontaneous","between","English","ASD","HC",52,34,"pitch","Hz",236.907,204.067,70.75,64.36,NA,NA,50,31,2,3,152.21,160.23,36.2,36.57,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","American English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.480742722210377,0.0499862174538507,0.476398661467513,0.0490869335482495,0.228811727250094,0.0101688753753281,0.232935184662101,0.0204081632653061,0.87197084390541,0.164448063925445,"between",155.380697674419,43,"Fusaroli2015 AK",NA,12.6841666666667,13.3525,0.476435415752489,0.0499622473400426,0.223522364295035
"105","asd",24,"Hubbard2017","Hubbard, et al. (2017)","Hubbard, D. J., Faso, D. J., Assmann, P. F., & Sasson, N. J. (2017). Production and perception of emotional prosody by adults with autism spectrum disorder. Autism Research, 10(12), 1991-2001.","yes","LNJ, ND","Hubbard, et al. (2017)","AL_asd","spontaneous","between","English","ASD","HC",15,15,"pitch","Hz",160.662,130.537,36.135,7.434,NA,NA,15,15,0,0,328,248,72.01,23.85,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","American English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",1.15481543257254,0.155559978055129,1.1227372261122,0.147037787899331,0.500037311591555,0.0164042678231536,0.549355894360338,0.0833333333333333,2.09460349740795,0.511771814682087,"between",288,15,"Hubbard2017 AL",NA,27.3333333333333,20.6666666666667,1.12355702131216,0.154373006335664,0.392903304052873
"106","asd",25,"Seidl2018","Seidl et al. (2018)","Seidl, A., Cristia, A., Soderstrom, M., Ko, E. S., Abel, E. A., Kellerman, A., & Schwichtenberg, A. J. (2018). Infant–mother acoustic–prosodic alignment and developmental risk. Journal of Speech, Language, and Hearing Research, 61(6), 1369-1380.","yes","LNJ, ND","Seidl et al. (2018)","AM_asd","social interaction","between","English","ASD","HC",18,17,"pitch","Hz",8.01655,8.00618,0.23662,0.09927,NA,NA,12,10,6,7,15.67,15.83,3.93,3.5,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","American English","HR",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.0565554971762234,0.114424778171047,0.0552299777111557,0.10912397210221,0.0282549190135234,0.028514440666268,0.0282624416321243,0.0666666666666667,0.102580324822184,0.376442431410212,"between",15.7477142857143,17.5,"Seidl2018 AM",NA,1.30583333333333,1.31916666666667,0.0552586753351837,0.114422706698746,0.33826425572139
"107","asd",26,"Sharda2010","Sharda, et al. (2010)","Sharda, M., Subhadra, T.P., Sahay, S., Nagaraja, C., Singh, L., Mishra, R., ... Singh, N.C. (2010). Sounds of melody–pitch patterns of speech in autism. Neuroscience Letters, 478, 42–45.","yes","LNJ, ND","Sharda, et al. (2010)","A_asd","social interaction","between","English","ASD","HC",15,10,"pitch_range","Hz",559.6,464.7,84.9,41.2,NA,NA,10,8,5,2,75.20004,87.6,17.09268,22.8,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","Hindi-English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",1.33520342159886,0.202322030207653,1.28968512313527,0.188762482986866,0.547406033996545,0.0166799042388442,0.614669940145954,0.0833333333333333,2.42179111721937,0.665612799924928,"between",80.160024,12.5,"Sharda2010 A",NA,6.26667,7.3,1.29110448474987,0.200005682477491,0.447219948657807
"108","asd",27,"Filipe2014","Filipe, et al. (2014)","Filipe, M.G., Frota, S., Castro, S.L., & Vicente, S.G. (2014). Atypical prosody in Asperger syndrome: Perceptual and acoustic measurements. Journal of Autism and Develop- mental Disorders, 44, 1972–1981.","yes","LNJ, ND","Filipe, et al. (2014)","B_asd","spontaneous","between","Portuguese","ASD","HC",12,17,"pitch_range","Hz",108.63,70.67,40.58,27.14,NA,NA,10,10,2,7,102.96,100.2,6.12,5.88,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation statement","Portuguese","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",1.14071469954252,0.164591863189105,1.10780946782495,0.1552331357611,0.489808191086391,0.0175321045414635,0.535807954458705,0.111111111111111,2.06902759680285,0.541485525771561,"between",101.342068965517,14.5,"Filipe2014 B",NA,8.58,8.35,1.10868187895212,0.163349543929871,0.404165243347162
"109","asd",28,"Filipe2014","Filipe, et al. (2014)","Filipe, M.G., Frota, S., Castro, S.L., & Vicente, S.G. (2014). Atypical prosody in Asperger syndrome: Perceptual and acoustic measurements. Journal of Autism and Develop- mental Disorders, 44, 1972–1981.","yes","LNJ, ND","Filipe, et al. (2014).1","B_asd","spontaneous","between","Portuguese","ASD","HC",12,17,"pitch_range","Hz",175.97,124.32,54.22,45.61,NA,NA,10,10,2,7,102.96,100.2,6.12,5.88,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation question","Portuguese","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",1.04767519761111,0.161081402739744,1.01745379768002,0.151922280819909,0.458547407193748,0.0192452047714946,0.495470389078583,0.111111111111111,1.900272607351,0.529936573804609,"between",101.342068965517,14.5,"Filipe2014 B",NA,8.58,8.35,1.01825505280581,0.160033472272073,0.400041838152053
"110","asd",29,"Hubbard2007","Hubbard & Trauner (2007)","Hubbard, K., & Trauner, D.A. (2007). Intonation and emotion in autistic spectrum disorders. Journal of Psycholinguistic Research, 36, 159–173.","yes","LNJ, ND","Hubbard & Trauner (2007)","F_asd","constrained","between","English","ASD","HC",9,10,"pitch_range","Sds",1.828,1.856,0.09,0.088,NA,NA,NA,NA,NA,NA,125.4,125.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"imitation","American English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.314794987082796,0.213718897529334,-0.30003897206329,0.194152348072913,-0.155273006024634,0.0495200675086999,-0.156539236388109,0.166666666666667,-0.570974947434895,0.703106990550492,"between",125.4,9.5,"Hubbard2007 F",NA,10.45,10.45,-0.300664314072243,0.213490032946809,0.462049816520697
"111","asd",30,"Hubbard2007","Hubbard & Trauner (2007)","Hubbard, K., & Trauner, D.A. (2007). Intonation and emotion in autistic spectrum disorders. Journal of Psycholinguistic Research, 36, 159–173.","yes","LNJ, ND","Hubbard & Trauner (2007).1","G_asd","constrained","between","English","ASD","HC",9,10,"pitch_range","Sds",1.928,1.856,0.097,0.088,NA,NA,NA,NA,NA,NA,125.4,125.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"imitation","American English","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.779688059777125,0.227108834020559,0.743140181975072,0.206316399265259,0.362782013345145,0.0370776834264785,0.380085841054768,0.166666666666667,1.41419770712476,0.747158115925194,"between",125.4,9.5,"Hubbard2007 G",NA,10.45,10.45,0.744689036682626,0.225704841673093,0.475084036432601
"112","asd",31,"Nakai2014","Nakai, et al. (2014)","Nakai, Y., Takashima, R., Takiguchi, T., & Takada, S. (2014). Speech intonation in children with autism spectrum disorder. Brain and Development, 36, 516–522.","yes","LNJ, ND","Nakai, et al. (2014)","H_asd","spontaneous","between","Japanese","ASD","HC",6,16,"pitch_range","Hz",183.21,198.18,33.9,36.23,NA,NA,5,10,1,6,68.4,70.8,6,8.04,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation","Japanese","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.419777201905478,0.233171505285748,-0.403207049198683,0.215126549803974,-0.183768818398863,0.0417197388140062,-0.185880458011841,0.333333333333333,-0.761391621936175,0.767103504925617,"between",70.1454545454545,11,"Nakai2014 H",NA,5.7,5.9,-0.403802384761961,0.23287249316529,0.482568640884683
"113","asd",32,"Nakai2014","Nakai, et al. (2014)","Nakai, Y., Takashima, R., Takiguchi, T., & Takada, S. (2014). Speech intonation in children with autism spectrum disorder. Brain and Development, 36, 516–522.","yes","LNJ, ND","Nakai, et al. (2014).1","I_asd","spontaneous","between","Japanese","ASD","HC",20,21,"pitch_range","Hz",202.13,224.39,34.27,48.13,NA,NA,15,10,5,11,93,93,6.96,9.6,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation","Japanese","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.530585840818857,0.10105223462487,-0.520113751855327,0.0971026948107143,-0.2563515089208,0.0205903675445113,-0.262199353350684,0.0588235294117647,-0.962376260748921,0.332448526531178,"between",93,20.5,"Nakai2014 I",NA,7.75,7.75,-0.520305336207559,0.10092048228839,0.317679842433211
"114","asd",33,"Grossmann2010","Grossman, et al. (2010)","Grossman, R.B., Bemis, R.H., Skwerer, D.P., & Tager-Flusberg, H. (2010). Lexical and affective prosody in children with high-functioning autism. Journal of Speech, Language, and Hearing Research, 53, 778–793.","yes","LNJ, ND","Grossman, et al. (2010)","K_asd","spontaneous","between","English","ASD","HC",11,9,"pitch_range","Hz",170,108.64,86.64,53.94,NA,NA,11,9,0,0,147.6,150.96,27,36.96,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation","American English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.830145286110057,0.219248731921471,0.793521229369907,0.200329994024268,0.381719559779713,0.0338320670278508,0.402070959492534,0.125,1.50571699216845,0.721299416501803,"between",149.112,10,"Grossmann2010 K",NA,12.3,12.58,0.79498566715388,0.217820257294705,0.466712178215551
"115","asd",34,"Bonneh2011","Bonneh, et al. (2011)","Bonneh, Y.S., Levanon, Y., Dean-Pardo, O., Lossos, L., & Adini, Y. (2011). Abnormal speech spectrum and increased pitch variability in young autistic children. Frontiers in Human Neuroscience, 4, 237.","yes","LNJ, ND","Bonneh, et al. (2011)","L_asd","spontaneous","between","Hebrew","ASD","HC",41,42,"pitch_range","Hz",264,249,23,25,NA,NA,33,17,8,25,60,61.2,13.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation","Hebrew","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.624137750844713,0.0505464420012972,0.618286459430544,0.0496031387721519,0.297880331103621,0.00956103534923396,0.30719192008367,0.0263157894736842,1.13206065567671,0.166291128811803,"between",60.6072289156626,41.5,"Bonneh2011 L",NA,5,5.1,0.618337806099438,0.0505030306182994,0.224728793478493
"116","asd",36,"Nadig2012","Nadig & Shaw (2012)","Nadig, A., & Shaw, H. (2012). Acoustic and perceptual measurement of expressive prosody in high-functioning autism: Increased pitch range and what it means to listeners. Journal of Autism and Development Disorders, 42, 499–511.","yes","LNJ, ND","Nadig & Shaw (2012)","N_asd","social interaction","between","English","ASD","HC",15,13,"pitch_range","Hz",217.04,132.6,63.83,68.29,NA,NA,13,11,2,2,132,132,18.96,24,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","Canadian English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",1.28083070487785,0.172884873849706,1.24240578373152,0.162667377805188,0.538323840977926,0.0154039181708034,0.60179249845199,0.0833333333333333,2.32316991819911,0.568768437276279,"between",132,14,"Nadig2012 N",NA,11,11,1.24346415830644,0.171200513464614,0.413763837792302
"117","asd",37,"Nadig2012","Nadig & Shaw (2012)","Nadig, A., & Shaw, H. (2012). Acoustic and perceptual measurement of expressive prosody in high-functioning autism: Increased pitch range and what it means to listeners. Journal of Autism and Development Disorders, 42, 499–511.","yes","LNJ, ND","Nadig & Shaw (2012).1","O_asd","spontaneous","between","English","ASD","HC",15,11,"pitch_range","Hz",155.72,122.61,40.77,37,NA,NA,12,9,3,2,126,128.04,16.8,22.8,NA,NA,NA,NA,NA,NA,NA,NA,"description elicitation","Canadian English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.843712928908798,0.171265209622063,0.816200550792207,0.160277850356375,0.384747130308418,0.0258510843211788,0.405619735514048,0.0833333333333333,1.53032597405097,0.563439955546467,"between",126.863076923077,13,"Nadig2012 O",NA,10.5,10.67,0.817022267365625,0.170412784217513,0.412810833454638
"118","asd",38,"Parish-Morris2016","Parish-Morris et al. (2016)","Parish-Morris, J., Liberman, M., Ryant, N., Cieri, C., Bateman, L., Ferguson, E., & Schultz, R.T. (2016). Exploring Autism Spectrum Disorders Using HLT. In Proceedings of 2016 Conference of the North American Chapter of the Associa- tion for Computational Linguistics — Human Language Technologies. Stroudsburg (PA): Association for Computa- tional Linguistics.",NA,"LNJ, ND","Parish-Morris et al. (2016)","AB_asd","social interaction","between","English","ASD","HC",65,17,"pitch_range",NA,1.99,1.47,0.7,0.19,NA,NA,49,8,16,9,120,135.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","American English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.822995003333707,0.0783381495251133,0.815181759631172,0.0768577769070043,0.316480630400915,0.00938002036256814,0.327731135636251,0.0161290322580645,1.49274781381462,0.257722181775418,"between",123.209268292683,41,"Parish-Morris2016 AB",NA,10,11.29,0.815251183037778,0.0782607941344563,0.279751307654596
"119","asd",39,"Quigley2016","Quigley et al. (2016)","Quigley, J., McNally, S., & Lawson, S. (2016). Prosodic patterns in interaction of low-risk and at-risk-of-autism spectrum disorders infants and their mothers at 12 and 18 months. Language Learning and Development, 12, 295–310.","yes","LNJ, ND","Quigley et al. (2016)","AC_asd","social interaction","between","English","ASD","HC",10,9,"pitch_range","Hz",586.07,562.39,59.83,69.01,NA,NA,5,5,5,4,12.12,11.95,0.89,0.84,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","Irish English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.368196794869465,0.214678713209852,0.350937570109959,0.195024290003383,0.180813037959135,0.0484414132582894,0.182823078368089,0.142857142857143,0.667835112447313,0.706264657572051,"between",12.0394736842105,9.5,"Quigley2016 AC",NA,1.01,0.995833333333333,0.351668995109853,0.214365613272205,0.462996342612126
"120","asd",40,"Quigley2016","Quigley et al. (2016)","Quigley, J., McNally, S., & Lawson, S. (2016). Prosodic patterns in interaction of low-risk and at-risk-of-autism spectrum disorders infants and their mothers at 12 and 18 months. Language Learning and Development, 12, 295–310.","yes","LNJ, ND","Quigley et al. (2016).1","AC_asd","social interaction","between","English","ASD","HC",10,9,"pitch_range","Hz",554.06,539.81,55.9,152.12,NA,NA,5,5,5,4,18.27,18.13,0.85,0.88,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","Irish English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.127232368029422,0.211537113097279,0.121268350778043,0.192170311971429,0.0634002051373869,0.0521043850864411,0.0634853581256777,0.142857142857143,0.23077398824178,0.69592920747288,"between",18.2036842105263,9.5,"Quigley2016 AC",NA,1.5225,1.51083333333333,0.121521098591357,0.211499726305923,0.459890993938697
"121","asd",41,"Dahlgreen2018","Dahlgren et al. (2018)","Dahlgren, S., Sandberg, A. D., Strömbergsson, S., Wenhov, L., Råstam, M., & Nettelbladt, U. (2018). Prosodic traits in speech produced by children with autism spectrum disorders–Perceptual and acoustic measurements. Autism & Developmental Language Impairments, 3, 2396941518764527.","yes","LNJ, ND","Dahlgren et al. (2018)","AD_asd","spontaneous","between","Swedish","ASD","HC",11,11,"pitch_range",NA,11.44,11.74,3.41,2.83,NA,NA,10,6,1,5,11.1,11.1,1.1,0.47,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Swedish","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.0957411594268231,0.182026508400191,-0.0919619031336591,0.167939623141381,-0.0478158238756293,0.0451952075596402,-0.0478523152323265,0.125,-0.173655254099419,0.598843209473817,"between",11.1,11,"Dahlgreen2018 AD",NA,0.925,0.925,-0.092097684964634,0.182010954172178,0.426627418448672
"122","asd",42,"Fusaroli2016","Fusaroli, Lambrechts, et al. (2016)","Fusaroli, R., Lambrechts, A., Yarrow, K., Maras, K., & Gaigg, S. (2016). Conversational voice patterns in adult English speakers with ASD. Paper presented at the IMFAR 2016, Baltimore, United States.",NA,"LNJ, ND","Fusaroli, Lambrechts, et al. (2016)","AE_asd","spontaneous","between","English","ASD","HC",17,17,"pitch_range",NA,299.1976471,186.4705882,181.0108807,54.24917066,NA,NA,15,14,2,3,551.29,591.53,169.52,133.14,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","British English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.843647355452245,0.128113836181788,0.823236532336465,0.121989768180122,0.38866036222097,0.0195961984074795,0.410221058252221,0.0714285714285714,1.53020703695716,0.421477627140071,"between",571.41,17,"Fusaroli2016 AE",NA,45.9408333333333,49.2941666666667,0.823692362398478,0.127624545704023,0.357245777727356
"123","asd",43,"Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.",NA,"LNJ, ND","Fusaroli, et al. (2013)","AF_asd","spontaneous","between","Danish","ASD","HC",10,14,"pitch_range",NA,135.4315877,124.427,52.57165101,41.3774409,NA,NA,7,11,3,3,358.8,325.71,81.1,92.1,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","Danish","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.237755635394872,0.172606232723614,0.229264362702198,0.160497377111625,0.116418081087231,0.0402701336676036,0.116948344529183,0.142857142857143,0.431241020322321,0.56785174471481,"between",339.4975,12,"Fusaroli2013 AF",NA,29.9,27.1425,0.229541334823165,0.172526263603413,0.415362809605546
